,month,categories_generated,views
0,2023-02-01,not sports,2082959
1,2023-02-01,sports,6562555
2,2023-03-01,not sports,3738094
3,2023-03-01,sports,7303335
4,2023-04-01,not sports,698342
5,2023-04-01,sports,6156071
6,2023-05-01,not sports,580715
7,2023-05-01,sports,9935654
8,2023-06-01,not sports,227341
9,2023-06-01,sports,5064395
10,2023-07-01,not sports,518636
11,2023-07-01,sports,4528677
12,2023-08-01,not sports,621988
13,2023-08-01,sports,5618188
14,2023-09-01,not sports,515250
15,2023-09-01,sports,3467950
16,2023-10-01,not sports,540781
17,2023-10-01,sports,6564045
18,2023-11-01,not sports,1034383
19,2023-11-01,sports,7632991
20,2023-12-01,not sports,532052
21,2023-12-01,sports,5143013
22,2024-01-01,not sports,833778
23,2024-01-01,sports,4554872
24,2024-02-01,not sports,309613
25,2024-02-01,sports,3852471
26,2024-03-01,not sports,1077937
27,2024-03-01,sports,3403986
28,2024-04-01,not sports,292603
29,2024-04-01,sports,5694779
30,2024-05-01,not sports,358619
31,2024-05-01,sports,4800938
32,2024-06-01,not sports,1451624
33,2024-06-01,sports,6867954
34,2024-07-01,sports,9936067
35,2024-08-01,not sports,81704
36,2024-08-01,sports,6378558
37,2024-09-01,not sports,236307
38,2024-09-01,sports,6624317
39,2024-10-01,not sports,120293
40,2024-10-01,sports,9248774
41,2024-11-01,not sports,472150
42,2024-11-01,sports,6882924
43,2024-12-01,not sports,126599
44,2024-12-01,sports,7455187
