date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-02,Chile,Christina_Aguilera,Christina Aguilera,251420,"American singer, songwriter and actress",human,american singer songwriter actress,Not Sports
2023-02,Mexico,Rihanna,Rihanna,195742,Barbadian singer,human,barbadian singer,Not Sports
2023-02,Colombia,Mama_Cax,Mama Cax,146314,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Spain,Carlos_Saura,Carlos Saura,118214,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023,Not Sports
2023-02,Argentina,Mama_Cax,Mama Cax,105801,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Colombia,Samuel_Moreno,Samuel Moreno Rojas,91076,Colombian politician (1960–2023),human,colombian politician 1960–2023,Not Sports
2023-02,Chile,Alejandro_Fernández,Alejandro Fernández,90463,Mexican recording artist; singer,human,mexican recording artist singer,Not Sports
2023-02,Spain,Berta_Vázquez,Berta Vázquez,83943,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer,Not Sports
2023-02,Peru,Mama_Cax,Mama Cax,76752,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Mexico,Patrick_Mahomes,Patrick Mahomes,73181,American football player (born 1995),human,american football player born 1995,Sports
2023-02,Chile,Tini_Stoessel,Tini,71367,Argentine singer and actress (born 1997),human,argentine singer actress born 1997,Not Sports
2023-02,Spain,Amancio_Amaro,Amancio Amaro,70600,Spanish footballer (1939–2023),human,spanish footballer 1939–2023,Not Sports
2023-02,Chile,Mama_Cax,Mama Cax,64383,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Spain,Berta_Vázquez,Berta Vázquez,63926,Ukrainian-Spanish actress and singer,human,ukrainian spanish actress singer,Not Sports
2023-02,Spain,Maruja_Torres,Maruja Torres,60848,Spanish writer and journalist (born 1943),human,spanish writer journalist born 1943,Not Sports
2023-02,Chile,Polimá_Westcoast,Polimá Westcoast,60191,Chilean rapper and singer,human,chilean rapper singer,Not Sports
2023-02,Spain,Carlos_Saura,Carlos Saura,60189,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023,Not Sports
2023-02,Spain,Carlos_Saura,Carlos Saura,59233,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023,Not Sports
2023-02,Spain,Macarena_Olona,No label found,58264,Spanish politician,human,spanish politician,Not Sports
2023-02,Spain,Rihanna,Rihanna,58032,Barbadian singer,human,barbadian singer,Not Sports
2023-02,Colombia,Mama_Cax,Mama Cax,56110,American–Haitian model and disability rights activist,human,american–haitian model disability rights activist,Not Sports
2023-02,Spain,Raquel_Welch,Raquel Welch,48588,American actress (1940–2023),human,american actress 1940–2023,Not Sports
2023-02,Spain,Carlos_Saura,Carlos Saura,47477,Spanish photographer and film director (1932–2023),human,spanish photographer film director 1932–2023,Not Sports
2023-02,Spain,Marcos_Alonso_Peña,Marcos Alonso Peña,46363,Spanish football player and manager (1959–2023),human,spanish football player manager 1959–2023,Sports
2023-02,Mexico,Diego_Cocca,Diego Cocca,46288,Argentinian association football player and manager,human,argentinian association football player manager,Sports
2023-02,Chile,Fabrizio_Copano,Fabrizio Copano,44058,"Chilean comedian, actor, screenwriter and TV & Radio host",human,chilean comedian actor screenwriter tv radio host,Not Sports
2023-02,Spain,Ramón_Tamames,Ramón Tamames,43312,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-02,Chile,Fito_Páez,Fito Páez,41791,Argentine musician,human,argentine musician,Not Sports
2023-02,Chile,Robert_De_Niro,Robert De Niro,38252,"American actor, director and producer (born 1943)",human,american actor director producer born 1943,Not Sports
2023-02,Spain,Ramón_Tamames,Ramón Tamames,36761,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-02,Spain,Marcos_Alonso_Mendoza,Marcos Alonso Mendoza,36501,Spanish association football player,human,spanish association football player,Sports
