date,country,contry_code,project,id,title,qid,views,label,description,attributes
2023-02,Mexico,MX,es.wikipedia,104495,Día_de_San_Valentín,Q37587,358483,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Chile,CL,es.wikipedia,38668,Christina_Aguilera,Q41594,251420,Christina Aguilera,"American singer, songwriter and actress",human
2023-02,Argentina,AR,es.wikipedia,104495,Día_de_San_Valentín,Q37587,224841,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Colombia,CO,es.wikipedia,104495,Día_de_San_Valentín,Q37587,222921,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Mexico,MX,es.wikipedia,372581,Rihanna,Q36844,195742,Rihanna,Barbadian singer,human
2023-02,Mexico,MX,es.wikipedia,104495,Día_de_San_Valentín,Q37587,183626,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Mexico,MX,es.wikipedia,102835,Super_Bowl,Q32096,163812,Super Bowl,National Football League championship game,championship
2023-02,Colombia,CO,es.wikipedia,9242140,Mama_Cax,Q79267134,146314,Mama Cax,American–Haitian model and disability rights activist,human
2023-02,Peru,PE,es.wikipedia,104495,Día_de_San_Valentín,Q37587,128885,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Spain,ES,es.wikipedia,57588,Carlos_Saura,Q295855,118214,Carlos Saura,Spanish photographer and film director (1932–2023),human
2023-02,Argentina,AR,es.wikipedia,9242140,Mama_Cax,Q79267134,105801,Mama Cax,American–Haitian model and disability rights activist,human
2023-02,Chile,CL,es.wikipedia,104495,Día_de_San_Valentín,Q37587,100344,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Mexico,MX,es.wikipedia,102835,Super_Bowl,Q32096,95136,Super Bowl,National Football League championship game,championship
2023-02,Colombia,CO,es.wikipedia,955301,Samuel_Moreno,Q981871,91076,Samuel Moreno Rojas,Colombian politician (1960–2023),human
2023-02,Chile,CL,es.wikipedia,417796,Alejandro_Fernández,Q553528,90463,Alejandro Fernández,Mexican recording artist; singer,human
2023-02,United States,US,es.wikipedia,104495,Día_de_San_Valentín,Q37587,84058,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Spain,ES,es.wikipedia,6941600,Berta_Vázquez,Q21001794,83943,Berta Vázquez,Ukrainian-Spanish actress and singer,human
2023-02,Colombia,CO,es.wikipedia,104495,Día_de_San_Valentín,Q37587,81281,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Peru,PE,es.wikipedia,9242140,Mama_Cax,Q79267134,76752,Mama Cax,American–Haitian model and disability rights activist,human
2023-02,Chile,CL,es.wikipedia,7214687,Karol_G,Q22001324,74391,Karol G,Colombian singer and songwriter,None
2023-02,Mexico,MX,es.wikipedia,8443990,Patrick_Mahomes,Q19667998,73181,Patrick Mahomes,American football player (born 1995),human
2023-02,Chile,CL,es.wikipedia,5049065,Tini_Stoessel,Q2699591,71367,Tini,Argentine singer and actress (born 1997),human
2023-02,Spain,ES,es.wikipedia,193247,Amancio_Amaro,Q453653,70600,Amancio Amaro,Spanish footballer (1939–2023),human
2023-02,Chile,CL,es.wikipedia,9242140,Mama_Cax,Q79267134,64383,Mama Cax,American–Haitian model and disability rights activist,human
2023-02,Spain,ES,es.wikipedia,6941600,Berta_Vázquez,Q21001794,63926,Berta Vázquez,Ukrainian-Spanish actress and singer,human
2023-02,Spain,ES,es.wikipedia,104495,Día_de_San_Valentín,Q37587,61640,Valentine's Day,holiday observed on February 14 to celebrate love and friendship,holiday
2023-02,Argentina,AR,es.wikipedia,32867,Cadena_perpetua,Q68676,61344,life imprisonment,imprisonment intended to last for life,None
2023-02,Spain,ES,es.wikipedia,14015,Maruja_Torres,Q266073,60848,Maruja Torres,Spanish writer and journalist (born 1943),human
